strata,patch,time,R_eff
3,4,17,2.4932797094143506
1,5,17,3.0900037693534426
2,5,17,4.990497675895277
3,5,17,2.493007999483877
1,1,18,3.026779316991907
2,1,18,4.900498301966069
3,1,18,2.453627887630341
1,2,18,3.027239449939054
2,2,18,4.900188753712745
3,2,18,2.453836506842932
1,3,18,3.0271687622597243
2,3,18,4.9002711786424715
3,3,18,2.453793525252792
1,4,18,3.027362143777663
2,4,18,4.900287364483162
3,4,18,2.4539221936868367
1,5,18,3.0268214488560914
2,5,18,4.900017284566193
3,5,18,2.453626682103746
1,1,19,2.9501316004042026
2,1,19,4.782857079277875
3,1,19,2.402379035835384
1,2,19,2.9506259401421366
2,2,19,4.782525815629154
3,2,19,2.4026028949471265
1,3,19,2.9505511646967335
2,3,19,4.782613728565532
3,3,19,2.402559221953291
1,4,19,2.950760765717723
2,4,19,4.782632715993937
3,4,19,2.4026965642254825
1,5,19,2.9501780659478065
2,5,19,4.7823419405460745
3,5,19,2.402378660706227
1,1,20,2.8571586998200824
2,1,20,4.630780576281961
3,1,20,2.336085803862904
1,2,20,2.8576850414021733
2,2,20,4.630431847529866
3,2,20,2.3363234939830617
1,3,20,2.857606603442887
2,3,20,4.630524147135361
3,3,20,2.3362793727554827
1,4,20,2.857831518182938
2,4,20,4.630545950835646
3,4,20,2.336424214077007
1,5,20,2.857209804704432
2,5,20,4.630236911997514
3,5,20,2.336086867435
1,1,21,2.744388561977678
2,1,21,4.435715650355743
3,1,21,2.2509785408350815
1,2,21,2.7449429404283143
2,2,21,4.4353562262415585
3,2,21,2.2512276211108975
1,3,21,2.7448614667660656
2,3,21,4.4354511753013925
3,3,21,2.2511833451111336
1,4,21,2.745099884764241
2,4,21,4.435475643243028
3,4,21,2.2513337021261237
1,5,21,2.7444446163847274
2,5,21,4.4351525274406844
3,5,21,2.2509818839940614
1,1,22,2.6076120143664663
2,1,22,4.187999801585307
3,1,22,2.142772209462294
1,2,22,2.608188159017497
2,2,22,4.187639576895706
3,2,22,2.1430289516970435
1,3,22,2.6081045258384083
2,3,22,4.187734647455304
3,3,22,2.1429848630571837
1,4,22,2.6083534261613557
2,4,22,4.187761395542106
3,4,22,2.143137731749776
1,5,22,2.6076733288151166
2,5,22,4.187430610543299
3,5,22,2.1427789649902382
1,1,23,2.4417266406784885
2,1,23,3.877511041420767
3,1,23,2.0069285671906503
1,2,23,2.442315291268541
2,2,23,3.87716356870487
3,2,23,2.0071877224392427
1,3,23,2.4422306812552463
2,3,23,3.877255300791699
3,3,23,2.007144202229274
1,4,23,2.442485443878129
2,4,23,3.877283638436188
3,4,23,2.007295357757032
1,5,23,2.4417935207250236
2,5,23,3.8769542674136166
3,5,23,2.0069402217047174
1,1,24,2.2405476868199052
2,1,24,3.4951251047198992
3,1,24,1.8392572049442772
1,2,24,2.2411357394062703
2,2,24,3.494807849210421
3,2,24,1.8395118686601997
1,3,24,2.241051709771302
2,3,24,3.4948917701498052
3,3,24,1.8394693130491242
1,4,24,2.2413056238970004
2,4,24,3.494920624595787
3,4,24,1.839613181141011
1,5,24,2.240620426456008
2,5,24,3.4946047502785427
3,5,24,1.839275653205384
